cell_id,dataset,n_train,method,seed,tuning_budget,status,n_requested,metric_tstr_auroc_mean,metric_tstr_acc_mean,metric_tstr_f1_mean,metric_trtr_auroc_mean,metric_trtr_acc_mean,metric_trtr_f1_mean,metric_majority_auroc,metric_c2st_auc,metric_ks_mean,metric_tvd_mean,metric_corr_dist,metric_dcr_median,metric_dcr_rate,metric_nndr_median,metric_mia_auc,lr_tstr_auroc,lr_tstr_acc,lr_tstr_f1,lr_trtr_auroc,lr_trtr_acc,lr_trtr_f1,rf_tstr_auroc,rf_tstr_acc,rf_tstr_f1,rf_trtr_auroc,rf_trtr_acc,rf_trtr_f1,xgb_tstr_auroc,xgb_tstr_acc,xgb_tstr_f1,xgb_trtr_auroc,xgb_trtr_acc,xgb_trtr_f1,cost_fit_seconds,cost_sample_seconds,cost_peak_rss_mb,cost_eval_seconds,cost_total_seconds,git_sha,code_sha,with_replacement,error_head,file
diabetes130__n2000__tvae__seed4__budget20,diabetes130,2000,tvae,4,20,ok,2000,0.6082123518311329,0.6191508202833707,0.34716978499285656,0.6174310523805487,0.6118568232662193,0.40304117041242876,0.5,0.966445,0.11456250000000001,0.05258823529411765,2.416352365382846,2.4698116156684184,0.565,0.9385609353409949,0.52266525,0.6100558426021327,0.6191275167785235,0.3638486688463335,0.6257328550456445,0.6169602908277405,0.40374360648601587,0.6101630311460884,0.6192673378076062,0.3016157989228007,0.6171237846691195,0.6147930648769575,0.3761322463768116,0.6044181817451775,0.6190576062639821,0.37604488720943546,0.6094365174268822,0.6038171140939598,0.42924765837445866,13.946645375006483,0.06692141700477805,545.9375,6.615170666991617,23.27546970799449,5d4c905bcb72f85fdc5c010b91234ac9aeae1355,12343a9a8f341a19,,,diabetes130__n2000__tvae__seed4__budget20.json
diabetes130__n2000__ucsmote__seed0__budget20,diabetes130,2000,ucsmote,0,20,ok,2000,0.6064240553132292,0.60819817300522,0.4153733064232499,0.6173801485226804,0.6119966442953021,0.4081551259919201,0.5,0.9926955000000001,0.0658125,0.02152941176470588,1.686459527321288,1.4336113783171136,0.987,0.5939580822639615,0.8132502500000001,0.6095547427832648,0.6105984340044742,0.4311683006535948,0.6221715824235166,0.6148629753914989,0.4162339726608032,0.6081567669244728,0.6105285234899329,0.3807935978659553,0.6172261121239456,0.6127656599552572,0.37546510316833914,0.6015606562319499,0.6034675615212528,0.43415802075019955,0.6127427510205792,0.6083612975391499,0.43276630214661804,0.04504158400231972,0.36305437500413973,460.375,8.567817083006958,11.182596207989263,8c4996af9b1b1bca6d6094d22923f47411fcf094,12343a9a8f341a19,,,diabetes130__n2000__ucsmote__seed0__budget20.json
diabetes130__n2000__ucsmote__seed1__budget20,diabetes130,2000,ucsmote,1,20,ok,2000,0.6060943199263952,0.6091769202087994,0.3683464108076476,0.6198944831815386,0.6171234153616704,0.39498078335189285,0.5,0.9921665,0.0683125,0.02689705882352942,1.838508522472781,1.4356818718717546,0.988,0.6092133542156104,0.8119835000000001,0.6136971856169076,0.6122762863534675,0.3690557451649602,0.6307485410770898,0.6212248322147651,0.4042225643281284,0.6086823963901653,0.6140240492170023,0.3366574552445032,0.6201782403423967,0.6201062639821029,0.36115683047260755,0.5959033777721126,0.6012304250559284,0.3993260320134794,0.6087566681251293,0.6100391498881432,0.41956295525494275,0.04852616699645296,0.3651030839973828,464.421875,9.05612908299372,11.72308900000644,8c4996af9b1b1bca6d6094d22923f47411fcf094,12343a9a8f341a19,,,diabetes130__n2000__ucsmote__seed1__budget20.json
diabetes130__n2000__ucsmote__seed2__budget20,diabetes130,2000,ucsmote,2,20,ok,2000,0.600300737342636,0.5978747203579419,0.42171385859704397,0.6155961933548172,0.6137444071588367,0.3964216789261829,0.5,0.99546125,0.0683125,0.020499999999999997,1.828472972438709,1.4421189088614441,0.9835,0.6085515197073312,0.8118150000000001,0.6089447729116226,0.6008109619686801,0.4344294770206022,0.6240260522581553,0.6221336689038032,0.39602190188847913,0.6009803318703255,0.6043763982102909,0.3902596702941493,0.6157873214601962,0.616680648769575,0.36984254683369727,0.5909771072459598,0.5884368008948546,0.44045242847638055,0.6069752063460999,0.602418903803132,0.4234005880563723,0.04700637501082383,0.3665515409957152,466.84375,7.808687166994787,10.405136542001856,8c4996af9b1b1bca6d6094d22923f47411fcf094,12343a9a8f341a19,,,diabetes130__n2000__ucsmote__seed2__budget20.json
diabetes130__n2000__ucsmote__seed3__budget20,diabetes130,2000,ucsmote,3,20,ok,2000,0.6110647886570674,0.6103887024608501,0.4175690860259194,0.6251925811667873,0.6176360924683073,0.4210046837439536,0.5,0.9957095,0.069625,0.019308823529411767,1.6966620062047535,1.4358261729520225,0.984,0.6108707413063454,0.8178337499999999,0.6151522308659022,0.6114373601789709,0.4359650903186523,0.6328952469534168,0.6203859060402684,0.4284210526315789,0.6110239025153721,0.6136045861297539,0.3761146856304323,0.6276733366040887,0.6266778523489933,0.39082819986310746,0.6070182325899278,0.6061241610738255,0.44062748212867353,0.6150091599428564,0.6058445190156599,0.44376479873717445,0.04516870800580364,0.36655541601066943,462.8125,8.19528304200503,10.774034000001848,8c4996af9b1b1bca6d6094d22923f47411fcf094,12343a9a8f341a19,,,diabetes130__n2000__ucsmote__seed3__budget20.json
diabetes130__n2000__ucsmote__seed4__budget20,diabetes130,2000,ucsmote,4,20,ok,2000,0.5988957806745068,0.606030947054437,0.39045258593026305,0.6174310523805487,0.6118568232662193,0.40304117041242876,0.5,0.9938605,0.06568750000000001,0.021382352941176467,1.976699712864011,1.4239678511653404,0.9895,0.5797793580169011,0.8202322499999999,0.6009395068744054,0.6086409395973155,0.39611650485436894,0.6257328550456445,0.6169602908277405,0.40374360648601587,0.6032333702497554,0.6125559284116331,0.37065637065637064,0.6171237846691195,0.6147930648769575,0.3761322463768116,0.5925144648993594,0.5968959731543624,0.4045848822800496,0.6094365174268822,0.6038171140939598,0.42924765837445866,0.05027058300038334,0.3706395830085967,462.21875,8.643978624997544,11.449026749993209,8c4996af9b1b1bca6d6094d22923f47411fcf094,12343a9a8f341a19,,,diabetes130__n2000__ucsmote__seed4__budget20.json
diabetes130__n200__copula__seed0__budget0,diabetes130,200,copula,0,0,ok,200,0.5078571505877159,0.5879241237882178,0.17963315870141008,0.5422577025791634,0.5655294556301268,0.3691604574453682,0.5,0.98865,0.32875,0.041029411764705884,3.99570719970916,5.29849552717495,0.345,0.9362727969087854,0.5336000000000001,0.49532785131565027,0.5942393736017897,0.13009592326139088,0.5470927232267669,0.5671140939597316,0.3949579831932773,0.5130458383991758,0.5891359060402684,0.154023319418454,0.5478650045587232,0.5762024608501118,0.32494432071269486,0.5151977620483215,0.5803970917225951,0.2547802334243854,0.5318153799520002,0.5532718120805369,0.38757906843013223,0.5135569580015726,0.06884383400029037,446.828125,3.4556086669981596,6.223182375004399,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__copula__seed0__budget0.json
diabetes130__n200__copula__seed1__budget0,diabetes130,200,copula,1,0,ok,200,0.528427129491812,0.5886232289336316,0.1830305795148002,0.5448057081782413,0.5731030947054436,0.3389481357166862,0.5,0.99335,0.39312500000000006,0.041029411764705884,3.628263379129017,5.998453008632486,0.675,0.933407666292249,0.538775,0.5317662900854633,0.5884368008948546,0.20478184519789275,0.5577321084964928,0.579488255033557,0.375843104700633,0.5290456088171719,0.5927013422818792,0.12179680434127223,0.5401169278430326,0.5796280760626398,0.2780645935886661,0.5244694895728008,0.584731543624161,0.22251308900523561,0.5365680881951986,0.5601929530201343,0.3629367088607595,0.48155404199496843,0.06369154199637705,448.3125,3.230631917002029,5.921169082997949,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__copula__seed1__budget0.json
diabetes130__n200__copula__seed2__budget0,diabetes130,200,copula,2,0,ok,200,0.5393815955442448,0.5989233780760627,0.1593716772931593,0.5621063617579592,0.5863627889634601,0.38143084084601186,0.5,0.995075,0.33562499999999995,0.045294117647058825,3.415458945247244,4.65552682362303,0.595,0.9315179164560354,0.5491250000000001,0.5715629771217579,0.6025587248322147,0.20098383696416022,0.5774459752108098,0.5864093959731543,0.42707728065078443,0.5164804373569788,0.6012304250559284,0.09345200254291164,0.5561707715082456,0.5951482102908278,0.32181754303782645,0.5301013721539979,0.5929809843400448,0.18367919237240607,0.5527023385548224,0.5775307606263982,0.3953976988494247,0.48746862500411225,0.06398883299698355,447.09375,3.022864541002491,5.693714166001882,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__copula__seed2__budget0.json
diabetes130__n200__copula__seed3__budget0,diabetes130,200,copula,3,0,ok,200,0.5002587825086694,0.5588413497390007,0.2800703273833705,0.5486824046788149,0.5748508575689782,0.3671393550904338,0.5,0.9766,0.376875,0.039117647058823535,3.5878117328444574,6.0540842874804195,0.36,0.9296857214374785,0.52285,0.5110732756906675,0.5662052572706935,0.2795773830256589,0.561904227413041,0.5736157718120806,0.3969148620587363,0.49997078251040866,0.5714485458612976,0.22129065040650406,0.5563422752167674,0.5877376957494407,0.32459053945710686,0.48973228932493207,0.5388702460850112,0.33934294871794873,0.5278007114066363,0.5631991051454138,0.3799126637554585,0.501272790999792,0.07303266700182576,448.40625,3.3476164160019835,6.064484542002901,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__copula__seed3__budget0.json
diabetes130__n200__copula__seed4__budget0,diabetes130,200,copula,4,0,ok,200,0.5282481931746137,0.565576062639821,0.33078903732130405,0.5503885076868765,0.569024981357196,0.3739359191466555,0.5,0.9949749999999999,0.39875,0.04205882352941177,3.67675491153409,5.125956766384084,0.57,0.9628521451184862,0.5029875,0.540233329017121,0.597734899328859,0.2585051546391753,0.5453617270942168,0.5625,0.40558510638297873,0.5239289303469927,0.5567673378076062,0.34027055150884494,0.5576723894560307,0.584731543624161,0.30639887902849133,0.5205823201597274,0.5422259507829977,0.39359140581589186,0.5481314065103823,0.5598434004474273,0.40982377202849646,0.49730291699961526,0.06360549999953946,446.71875,3.2572460000010324,5.941031999995175,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__copula__seed4__budget0.json
diabetes130__n200__ctgan__seed0__budget20,diabetes130,200,ctgan,0,20,ok,200,0.5084853283124228,0.5883435868754661,0.15889472519949033,0.5422577025791634,0.5655294556301268,0.3691604574453682,0.5,0.8485,0.13187500000000002,0.055,4.7824420447299705,3.8247345005287556,0.585,0.9624870394879335,0.582775,0.523987834110452,0.5845218120805369,0.24514162326940175,0.5470927232267669,0.5671140939597316,0.3949579831932773,0.493817927733398,0.5987136465324385,0.022812393598910453,0.5478650045587232,0.5762024608501118,0.32494432071269486,0.5076502230934181,0.5817953020134228,0.20873015873015874,0.5318153799520002,0.5532718120805369,0.38757906843013223,5.250907416004338,0.04636204199778149,550.140625,3.3095474589936202,10.803630084003089,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__ctgan__seed0__budget20.json
diabetes130__n200__ctgan__seed1__budget20,diabetes130,200,ctgan,1,20,ok,200,0.5261255413668596,0.5825177106636837,0.20693871896470004,0.5448057081782413,0.5731030947054436,0.3389481357166862,0.5,0.83565,0.12624999999999997,0.05573529411764706,4.0080510164356395,3.6743173412594325,0.49,0.9651122808887003,0.49662500000000004,0.5181468227870493,0.5710290827740492,0.3001824817518248,0.5577321084964928,0.579488255033557,0.375843104700633,0.5276854414293894,0.598084451901566,0.05707725110710185,0.5401169278430326,0.5796280760626398,0.2780645935886661,0.5325443598841402,0.5784395973154363,0.26355642403517343,0.5365680881951986,0.5601929530201343,0.3629367088607595,5.054671499994583,0.045629583997651935,547.703125,3.3020928330006427,10.610500749993662,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__ctgan__seed1__budget20.json
diabetes130__n200__ctgan__seed2__budget20,diabetes130,200,ctgan,2,20,ok,200,0.49675296231068855,0.49801920208799405,0.43354157954963385,0.5621063617579592,0.5863627889634601,0.38143084084601186,0.5,0.8601,0.14187500000000003,0.052500000000000005,3.5649891216302656,3.7795277000926784,0.525,0.9706389220022463,0.5042500000000001,0.49436884097714295,0.4888143176733781,0.4374519156793353,0.5774459752108098,0.5864093959731543,0.42707728065078443,0.4972908956651497,0.5004893736017897,0.42844572434205264,0.5561707715082456,0.5951482102908278,0.32181754303782645,0.498599150289773,0.5047539149888143,0.4347270986275136,0.5527023385548224,0.5775307606263982,0.3953976988494247,5.110149291002017,0.04487095899821725,551.453125,3.3396554999999353,10.705696999997599,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__ctgan__seed2__budget20.json
diabetes130__n200__ctgan__seed3__budget20,diabetes130,200,ctgan,3,20,ok,200,0.4819739537069547,0.4641825130499628,0.4765721984591626,0.5486824046788149,0.5748508575689782,0.3671393550904338,0.5,0.83555,0.15437500000000004,0.0475,4.3203000834765675,3.6725979525641597,0.575,0.96284630241355,0.51745,0.47952531678658,0.4554670022371365,0.4833167495854063,0.561904227413041,0.5736157718120806,0.3969148620587363,0.48078661145583623,0.4549077181208054,0.4934052368267169,0.5563422752167674,0.5877376957494407,0.32459053945710686,0.4856099328784481,0.4821728187919463,0.4529946089653645,0.5278007114066363,0.5631991051454138,0.3799126637554585,5.263991708001413,0.0449622080050176,550.25,3.2672521249987767,10.791394040999876,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__ctgan__seed3__budget20.json
diabetes130__n200__ctgan__seed4__budget20,diabetes130,200,ctgan,4,20,ok,200,0.5151679908497657,0.5644108873974646,0.27620993312903014,0.5503885076868765,0.569024981357196,0.3739359191466555,0.5,0.874475,0.13,0.05352941176470588,4.139636390111023,3.7859271093656424,0.51,0.958471730666666,0.49312500000000004,0.5015054293677736,0.5435542505592841,0.3437531410191979,0.5453617270942168,0.5625,0.40558510638297873,0.5230311778842905,0.5924916107382551,0.14165807686644089,0.5576723894560307,0.584731543624161,0.30639887902849133,0.520967365297233,0.5571868008948546,0.3432185815014517,0.5481314065103823,0.5598434004474273,0.40982377202849646,5.291031249995285,0.044824666998465545,548.96875,3.2289643330004765,10.78565354100283,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__ctgan__seed4__budget20.json
diabetes130__n200__marginals__seed0__budget0,diabetes130,200,marginals,0,0,ok,200,0.51432551416786,0.5371923937360178,0.3873366702639058,0.5422577025791634,0.5655294556301268,0.3691604574453682,0.5,0.782575,0.06250000000000003,0.04602941176470588,4.252679346356735,3.6786397601615866,0.585,0.9639865921410524,0.5467,0.5050212706789152,0.522231543624161,0.4098445595854922,0.5470927232267669,0.5671140939597316,0.3949579831932773,0.5181207339229567,0.5535514541387024,0.33988009096547445,0.5478650045587232,0.5762024608501118,0.32494432071269486,0.5198345379017082,0.5357941834451901,0.4122853602407506,0.5318153799520002,0.5532718120805369,0.38757906843013223,0.0016725000023143366,0.008586875002947636,447.359375,3.3043902089993935,5.426814042002661,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__marginals__seed0__budget0.json
diabetes130__n200__marginals__seed1__budget0,diabetes130,200,marginals,1,0,ok,200,0.5063851985318736,0.5579092095451156,0.3097146034202189,0.5448057081782413,0.5731030947054436,0.3389481357166862,0.5,0.79215,0.05062500000000002,0.0413235294117647,3.752714226268019,3.60395411499076,0.55,0.9593634044494617,0.5011999999999999,0.5140217861174183,0.5510346756152126,0.34589529435730293,0.5577321084964928,0.579488255033557,0.375843104700633,0.5100934350247361,0.5804670022371364,0.23661111817834882,0.5401169278430326,0.5796280760626398,0.2780645935886661,0.4950403744534663,0.5422259507829977,0.346637397725005,0.5365680881951986,0.5601929530201343,0.3629367088607595,0.0008674579949001782,0.008988292000140063,446.546875,3.3564439159963513,5.519128958003421,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__marginals__seed1__budget0.json
diabetes130__n200__marginals__seed2__budget0,diabetes130,200,marginals,2,0,ok,200,0.4821739105828778,0.5495432513049963,0.2555473990465535,0.5621063617579592,0.5863627889634601,0.38143084084601186,0.5,0.7676249999999999,0.07500000000000001,0.042352941176470586,3.6813136051096222,3.5977843521967148,0.535,0.9643571408633752,0.5016,0.4577789848859669,0.5345357941834452,0.276304347826087,0.5774459752108098,0.5864093959731543,0.42707728065078443,0.4951498865368804,0.576412192393736,0.1630059400469678,0.5561707715082456,0.5951482102908278,0.32181754303782645,0.493592860325786,0.5376817673378076,0.32733190926660566,0.5527023385548224,0.5775307606263982,0.3953976988494247,0.00077479200263042,0.008825500000966713,445.703125,3.2837978750030743,5.426544834001106,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__marginals__seed2__budget0.json
diabetes130__n200__marginals__seed3__budget0,diabetes130,200,marginals,3,0,ok,200,0.5346368736186872,0.556347874720358,0.38970679328028046,0.5486824046788149,0.5748508575689782,0.3671393550904338,0.5,0.77555,0.06250000000000001,0.033676470588235294,3.8716019368051455,3.6231717946715296,0.585,0.9591214032079937,0.503025,0.5393115360737959,0.543903803131991,0.4395189003436426,0.561904227413041,0.5736157718120806,0.3969148620587363,0.5264426535480988,0.5701901565995525,0.31460423634336676,0.5563422752167674,0.5877376957494407,0.32459053945710686,0.5381564312341669,0.5549496644295302,0.414997243153832,0.5278007114066363,0.5631991051454138,0.3799126637554585,0.0007698749977862462,0.008845208001730498,447.15625,3.448827207997965,5.55319145800604,30e30c4c09aa4630f5f23305f9ad0ff0542b0a65,12343a9a8f341a19,,,diabetes130__n200__marginals__seed3__budget0.json
