cell_id,dataset,n_train,method,seed,tuning_budget,status,metric,value
adult__n1000__ucsmote__seed2__budget20,adult,1000,ucsmote,2,20,ok,metric_tstr_auroc_mean,0.8726513760205802
adult__n1000__ucsmote__seed3__budget0,adult,1000,ucsmote,3,0,ok,metric_tstr_auroc_mean,0.876551053940282
adult__n1000__ucsmote__seed3__budget20,adult,1000,ucsmote,3,20,ok,metric_tstr_auroc_mean,0.8753979144741821
adult__n1000__ucsmote__seed4__budget0,adult,1000,ucsmote,4,0,ok,metric_tstr_auroc_mean,0.8712626089363956
adult__n1000__ucsmote__seed4__budget20,adult,1000,ucsmote,4,20,ok,metric_tstr_auroc_mean,0.8736696991739062
adult__n2000__copula__seed0__budget0,adult,2000,copula,0,0,ok,metric_tstr_auroc_mean,0.5991384609961274
adult__n2000__copula__seed1__budget0,adult,2000,copula,1,0,ok,metric_tstr_auroc_mean,0.7664088347674762
adult__n2000__copula__seed2__budget0,adult,2000,copula,2,0,ok,metric_tstr_auroc_mean,0.8091647149254039
adult__n2000__copula__seed3__budget0,adult,2000,copula,3,0,ok,metric_tstr_auroc_mean,0.7819483493599665
adult__n2000__copula__seed4__budget0,adult,2000,copula,4,0,ok,metric_tstr_auroc_mean,0.7734976321165474
adult__n2000__ctgan__seed0__budget20,adult,2000,ctgan,0,20,ok,metric_tstr_auroc_mean,0.855621122311412
adult__n2000__ctgan__seed1__budget20,adult,2000,ctgan,1,20,ok,metric_tstr_auroc_mean,0.8449416369176589
adult__n2000__ctgan__seed2__budget20,adult,2000,ctgan,2,20,ok,metric_tstr_auroc_mean,0.8352321755294637
adult__n2000__ctgan__seed3__budget20,adult,2000,ctgan,3,20,ok,metric_tstr_auroc_mean,0.8387079945729555
adult__n2000__ctgan__seed4__budget20,adult,2000,ctgan,4,20,ok,metric_tstr_auroc_mean,0.8442344746290832
adult__n2000__marginals__seed0__budget0,adult,2000,marginals,0,0,ok,metric_tstr_auroc_mean,0.4305203969858924
adult__n2000__marginals__seed1__budget0,adult,2000,marginals,1,0,ok,metric_tstr_auroc_mean,0.4998155088627969
adult__n2000__marginals__seed2__budget0,adult,2000,marginals,2,0,ok,metric_tstr_auroc_mean,0.45261733232221096
adult__n2000__marginals__seed3__budget0,adult,2000,marginals,3,0,ok,metric_tstr_auroc_mean,0.46681263885736296
adult__n2000__marginals__seed4__budget0,adult,2000,marginals,4,0,ok,metric_tstr_auroc_mean,0.4736167141275114
adult__n2000__real_subsample__seed0__budget0,adult,2000,real_subsample,0,0,ok,metric_tstr_auroc_mean,0.8977416977913512
adult__n2000__real_subsample__seed1__budget0,adult,2000,real_subsample,1,0,ok,metric_tstr_auroc_mean,0.8984135868705421
adult__n2000__real_subsample__seed2__budget0,adult,2000,real_subsample,2,0,ok,metric_tstr_auroc_mean,0.8968214990748575
adult__n2000__real_subsample__seed3__budget0,adult,2000,real_subsample,3,0,ok,metric_tstr_auroc_mean,0.8973876115157893
adult__n2000__real_subsample__seed4__budget0,adult,2000,real_subsample,4,0,ok,metric_tstr_auroc_mean,0.8999180612588816
adult__n2000__smote__seed0__budget20,adult,2000,smote,0,20,ok,metric_tstr_auroc_mean,0.8896200252092749
adult__n2000__smote__seed1__budget20,adult,2000,smote,1,20,ok,metric_tstr_auroc_mean,0.8843442837195544
adult__n2000__smote__seed2__budget20,adult,2000,smote,2,20,ok,metric_tstr_auroc_mean,0.8839842863333401
adult__n2000__smote__seed3__budget20,adult,2000,smote,3,20,ok,metric_tstr_auroc_mean,0.8863567697048484
adult__n2000__smote__seed4__budget20,adult,2000,smote,4,20,ok,metric_tstr_auroc_mean,0.8900211209357352
adult__n2000__tabddpm__seed0__budget20,adult,2000,tabddpm,0,20,ok,metric_tstr_auroc_mean,0.8795278677699594
adult__n2000__tabddpm__seed1__budget20,adult,2000,tabddpm,1,20,ok,metric_tstr_auroc_mean,0.8767203696443189
adult__n2000__tabddpm__seed2__budget20,adult,2000,tabddpm,2,20,ok,metric_tstr_auroc_mean,0.8662231829030903
adult__n2000__tabddpm__seed3__budget20,adult,2000,tabddpm,3,20,ok,metric_tstr_auroc_mean,0.8783506754572405
adult__n2000__tabddpm__seed4__budget20,adult,2000,tabddpm,4,20,ok,metric_tstr_auroc_mean,0.8760417526464579
